Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Sun Mar 05 2023 14:45:04 GMT+0800


6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills
"Vizient","United States","vizientinc.com","63","0","$0.41",Increased,2023-02-19,"0"
"ACI Worldwide","United States","aciworldwide.com","62","0","$0.40",-,2023-02-24,"0"
"Harris Health System","United States","harrishealth.org","52","0","$0.33",-,2023-02-19,"0"
"Domino's Pizza, Inc.","United States","dominos.com","49","0","$0.32",Increased,2023-02-19,"0"
"Ingevity","United States","ingevity.com","44","0","$0.28",-,2023-03-04,"0"
"KKR, Inc.","United States","kkr.com","42","0","$0.27",-,2023-03-04,"0"
"Blue Cross Blue Shield of Michigan","United States","bcbsm.com","39","0","$0.25",-,2023-03-04,"0"
"Excellus BlueCross BlueShield","United States","excellusbcbs.com","32","0","$0.20",-,2023-03-04,"0"
"Capital Group","United States","capitalgroup.com","32","0","$0.20",-,2023-03-04,"0"
"International Paper Company","United States","internationalpaper.com","25","0","$0.16",-,2023-02-28,"0"
"HMS","United States","hms.com","22","0","$0.14",-,2023-03-04,"0"
"Advocate Aurora Health","United States","advocateaurorahealth.org","21","0","$0.13",-,2023-02-17,"0"
"Circle K","United States","circlek.com","12","0","$0.07",-,2023-03-04,"0"
"Viatris, Inc. (fmr Mylan N.V.)","United States","viatris.com","9","0","$0.05",Increased,2023-02-18,"0"
"Marsh & McLennan Companies, Inc.","United States","mmc.com","4","0","$0.02",Increased,2023-02-16,"0"
